shipment_id,customer,warehouse_id,destination_region,dispatch_date,delivery_date,delivery_time_days,weight,carrier_name,shipment_status,delivery_mode,shipment_cost,delivery_accuracy_flag,damage_flag,cost_per_kg,delay_flag
S000855,V55555_4,PLANT16,PORT09,2024-10-27,2024-10-27,0,1.023,V444_0,Delivered,GROUND,12.563,True,False,12.28,0
S000855,V55555_4,PLANT16,PORT09,2024-10-27,2024-10-27,0,1.023,V444_0,Delivered,GROUND,13.586,True,False,13.28,0
S000856,V55555_4,PLANT16,PORT09,2024-09-07,2024-09-07,0,0.614,V444_0,Delivered,GROUND,7.538,True,False,12.28,0
S000856,V55555_4,PLANT16,PORT09,2024-09-07,2024-09-07,0,0.614,V444_0,Delivered,GROUND,8.151,True,False,13.28,0
S000857,V555555_6,PLANT16,PORT09,2023-11-22,2023-11-22,0,37.042,V444_0,Delivered,GROUND,454.816,True,False,12.28,0
S000857,V555555_6,PLANT16,PORT09,2023-11-22,2023-11-22,0,37.042,V444_0,Delivered,GROUND,491.858,True,False,13.28,0
S000858,V555555_6,PLANT16,PORT09,2024-04-13,2024-04-13,0,42.831,V444_0,Delivered,GROUND,525.892,True,False,12.28,0
S000858,V555555_6,PLANT16,PORT09,2024-04-13,2024-04-13,0,42.831,V444_0,Delivered,GROUND,568.723,True,False,13.28,0
S000859,V555555_6,PLANT16,PORT09,2023-03-23,2023-03-23,0,133.224,V444_0,Delivered,GROUND,1635.781,True,False,12.28,0
S000859,V555555_6,PLANT16,PORT09,2023-03-23,2023-03-23,0,133.224,V444_0,Delivered,GROUND,1769.005,True,False,13.28,0
S000860,V555555_6,PLANT16,PORT09,2024-09-14,2024-09-14,0,20.31,V444_0,Delivered,GROUND,249.37,True,False,12.28,0
S000860,V555555_6,PLANT16,PORT09,2024-09-14,2024-09-14,0,20.31,V444_0,Delivered,GROUND,269.68,True,False,13.28,0
S000861,V555555_6,PLANT16,PORT09,2023-12-10,2023-12-10,0,58.774,V444_0,Delivered,GROUND,721.653,True,False,12.28,0
S000861,V555555_6,PLANT16,PORT09,2023-12-10,2023-12-10,0,58.774,V444_0,Delivered,GROUND,780.428,True,False,13.28,0
S000862,V555555_6,PLANT16,PORT09,2023-07-25,2023-07-25,0,26.887,V444_0,Delivered,GROUND,330.131,True,False,12.28,0
S000862,V555555_6,PLANT16,PORT09,2023-07-25,2023-07-25,0,26.887,V444_0,Delivered,GROUND,357.018,True,False,13.28,0
S000863,V555555_6,PLANT16,PORT09,2024-11-24,2024-11-24,0,11.155,V444_0,Delivered,GROUND,136.964,True,False,12.28,0
S000863,V555555_6,PLANT16,PORT09,2024-11-24,2024-11-24,0,11.155,V444_0,Delivered,GROUND,148.118,True,False,13.28,0
S000864,V555555_6,PLANT16,PORT09,2023-01-16,2023-01-16,0,22.31,V444_0,Delivered,GROUND,273.927,True,False,12.28,0
S000864,V555555_6,PLANT16,PORT09,2023-01-16,2023-01-16,0,22.31,V444_0,Delivered,GROUND,296.237,True,False,13.28,0
S000865,V555555_6,PLANT16,PORT09,2024-10-31,2024-10-31,0,11.662,V444_0,Delivered,GROUND,143.196,True,False,12.28,0
S000865,V555555_6,PLANT16,PORT09,2024-10-31,2024-10-31,0,11.662,V444_0,Delivered,GROUND,154.859,True,False,13.28,0
S000866,V555555_6,PLANT16,PORT09,2024-02-13,2024-02-13,0,37.987,V444_0,Delivered,GROUND,466.424,True,False,12.28,0
S000866,V555555_6,PLANT16,PORT09,2024-02-13,2024-02-13,0,37.987,V444_0,Delivered,GROUND,504.412,True,False,13.28,0
S000867,V555555_6,PLANT16,PORT09,2024-11-12,2024-11-12,0,1.655,V444_0,Delivered,GROUND,20.317,True,False,12.28,0
S000867,V555555_6,PLANT16,PORT09,2024-11-12,2024-11-12,0,1.655,V444_0,Delivered,GROUND,21.971,True,False,13.28,0
S000868,V555555_6,PLANT16,PORT09,2024-01-05,2024-01-05,0,6.619,V444_0,Delivered,GROUND,81.266,True,False,12.28,0
S000868,V555555_6,PLANT16,PORT09,2024-01-05,2024-01-05,0,6.619,V444_0,Delivered,GROUND,87.885,True,False,13.28,0
S000869,V555555_6,PLANT16,PORT09,2024-04-24,2024-04-24,0,6.619,V444_0,Delivered,GROUND,81.266,True,False,12.28,0
S000869,V555555_6,PLANT16,PORT09,2024-04-24,2024-04-24,0,6.619,V444_0,Delivered,GROUND,87.885,True,False,13.28,0
S000870,V555555_6,PLANT16,PORT09,2024-01-15,2024-01-15,0,12.237,V444_0,Delivered,GROUND,150.254,True,False,12.28,0
S000870,V555555_6,PLANT16,PORT09,2024-01-15,2024-01-15,0,12.237,V444_0,Delivered,GROUND,162.491,True,False,13.28,0
S000871,V555555_6,PLANT16,PORT09,2023-12-07,2023-12-07,0,17.185,V444_0,Delivered,GROUND,211.007,True,False,12.28,0
S000871,V555555_6,PLANT16,PORT09,2023-12-07,2023-12-07,0,17.185,V444_0,Delivered,GROUND,228.193,True,False,13.28,0
S000872,V555555_6,PLANT16,PORT09,2023-11-16,2023-11-16,0,4.856,V444_0,Delivered,GROUND,59.619,True,False,12.28,0
S000872,V555555_6,PLANT16,PORT09,2023-11-16,2023-11-16,0,4.856,V444_0,Delivered,GROUND,64.474,True,False,13.28,0
S000873,V555555_6,PLANT16,PORT09,2023-04-19,2023-04-19,0,4.792,V444_0,Delivered,GROUND,58.837,True,False,12.28,0
S000873,V555555_6,PLANT16,PORT09,2023-04-19,2023-04-19,0,4.792,V444_0,Delivered,GROUND,63.629,True,False,13.28,0
S000874,V555555_6,PLANT16,PORT09,2024-06-10,2024-06-10,0,9.584,V444_0,Delivered,GROUND,117.674,True,False,12.28,0
S000874,V555555_6,PLANT16,PORT09,2024-06-10,2024-06-10,0,9.584,V444_0,Delivered,GROUND,127.258,True,False,13.28,0
S000875,V555555_6,PLANT16,PORT09,2024-09-09,2024-09-09,0,4.792,V444_0,Delivered,GROUND,58.837,True,False,12.28,0
S000875,V555555_6,PLANT16,PORT09,2024-09-09,2024-09-09,0,4.792,V444_0,Delivered,GROUND,63.629,True,False,13.28,0
S000876,V555555_6,PLANT16,PORT09,2024-12-11,2024-12-11,0,9.584,V444_0,Delivered,GROUND,117.674,True,False,12.28,0
S000876,V555555_6,PLANT16,PORT09,2024-12-11,2024-12-11,0,9.584,V444_0,Delivered,GROUND,127.258,True,False,13.28,0
S000877,V555555_6,PLANT16,PORT09,2024-02-18,2024-02-18,0,1.917,V444_0,Delivered,GROUND,23.535,True,False,12.28,0
S000877,V555555_6,PLANT16,PORT09,2024-02-18,2024-02-18,0,1.917,V444_0,Delivered,GROUND,25.452,True,False,13.28,0
S000878,V555555_6,PLANT16,PORT09,2023-09-05,2023-09-05,0,4.792,V444_0,Delivered,GROUND,58.837,True,False,12.28,0
S000878,V555555_6,PLANT16,PORT09,2023-09-05,2023-09-05,0,4.792,V444_0,Delivered,GROUND,63.629,True,False,13.28,0
S000879,V555555_6,PLANT16,PORT09,2024-10-08,2024-10-08,0,4.792,V444_0,Delivered,GROUND,58.837,True,False,12.28,0
