warehouse_id,warehouse_capacity_units,current_inventory_units,inventory_turnover_ratio,order_fulfilment_rate,avg_pick_pack_time_min,warehouse_utilization_pct,labour_hours_per_day,operational_cost_per_day,inventory_utilization,cost_per_unit
PLANT15,246,149,2.82,100.0,22,60.57,3,42.17,0.6056910569105691,0.28302013422818795
PLANT17,179,112,2.82,100.0,24,62.57,3,9.61,0.6256983240223464,0.08580357142857142
PLANT18,2488,2041,2.82,100.0,24,82.03,4,831.2,0.8203376205787781,0.4072513473787359
PLANT05,8631,6252,2.82,100.0,23,72.44,12,610.38,0.724365658672228,0.0976295585412668
PLANT02,3094,1780,2.82,100.0,25,57.53,3,169.99,0.5753070458952811,0.0955
PLANT01,23990,18714,2.82,100.0,23,78.01,37,2122.08,0.7800750312630262,0.113395319012504
PLANT06,1098,859,2.82,100.0,20,78.23,3,95.19,0.7823315118397086,0.11081490104772991
PLANT10,2645,2128,2.82,100.0,29,80.45,4,210.07,0.8045368620037807,0.0987171052631579
PLANT07,5941,3228,2.82,100.0,25,54.33,6,239.79,0.5433428715704427,0.07428438661710036
PLANT14,12308,10154,2.82,100.0,29,82.5,20,1288.2,0.8249918752031199,0.12686625960212725
PLANT16,134299,69792,0.01,100.0,28,51.97,139,26797.44,0.5196762447970573,0.38396148555708387
PLANT12,10200,6921,5.97,100.0,16,67.85,13,1070.17,0.6785294117647059,0.15462649906082937
PLANT11,7443,4578,2.82,100.0,29,61.51,9,508.38,0.615074566706973,0.11104849279161205
PLANT09,650,401,2.99,100.0,18,61.69,3,37.3,0.6169230769230769,0.09301745635910223
PLANT03,22186,15904,61.92,98.14,28,71.68,31,1646.07,0.7168484629946813,0.10350037726358148
PLANT13,30142,16584,0.52,100.0,24,55.02,33,1557.92,0.5501957401632274,0.09394114809454897
PLANT19,156,104,2.82,100.0,24,66.67,3,13.31,0.6666666666666666,0.12798076923076923
PLANT08,855,462,21.87,82.19,29,54.04,3,48.31,0.5403508771929825,0.10456709956709957
PLANT04,5820,3920,2.82,100.0,17,67.35,7,335.95,0.6735395189003437,0.08570153061224489
